id, English, Fanglish, Farsi, Pronunciation, Picture
1, toilet, toilette, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-1.jpeg
2, shower, hamam, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-2.jpeg
3, mirror, ayeneh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-3.jpeg
4, electric razor, rish tarosh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-4.jpeg
5, pants, shalvar, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-5.jpeg
6, shirt, pirahan, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-6.jpeg
7, socks, joorab, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-7.jpeg
8, slippers, dampaee, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-8.jpeg
9, kitchen, ashpaz khaneh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-9.jpeg
10, dishes, zarfha, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-10.jpeg
11, breakfast, sobhane, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-11.jpeg
12, cereal, cereal, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-12.jpeg
13, coffee, ghah’ve, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-13.jpeg
14, kettle, samovar, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-14.jpeg
15, table, miz, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-15.jpeg
16, stove, ojagh gaz, اجاق گاز, https://audio00.forvo.com/mp3/9180456/44/9180456_44_1890008_1.mp3, https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-16.jpeg
17, fridge, yakhchal, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-17.jpeg
18, phone, mobile, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-18.jpeg
19, computer, computair, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-19.jpeg
20, desk, mizeh computair, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-20.jpeg
21, email, email, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-21.jpeg
22, plan, bArnAmeh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-22.jpeg
23, office chair, sandali’ye edari, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-23.jpeg
24, water, Ab, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-24.jpeg
25, stretch, narmesh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-25.jpeg
26, news, akhbAr, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-26.jpeg
27, work, kArr, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-27.jpeg
28, break, zang-e-tafrih, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-28.jpeg
29, lunch, nAhAr, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-29.jpeg
30, walk, piAde, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-30.jpeg
31, code, kod, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-31.jpeg
32, house, khAne, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-32.jpeg
33, compost, bAzmAndeh ghazAyi, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-33.jpeg
34, garbage, AshghAl, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-34.jpeg
35, recycling, bAzyAft, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-35.jpeg
36, notebook, yAddAsht, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-36.jpeg
37, book, ketAb, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-37.jpeg
38, radio, RAdio, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-38.jpeg
39, couch, moble esterAhat, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-39.jpeg
40, knife, chAghoo, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-40.jpeg
41, vegetables, sabzi jAt, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-41.jpeg
42, pasta, mAcAroni, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-42.jpeg
43, plate, zarf, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-43.jpeg
44, bowl, piAle, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-44.jpeg
45, butter knife, chaghoo-ye karre, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-45.jpeg
46, spoon, ghAshogh, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-46.jpeg
47, fork, changAl, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-47.jpeg
48, tv, televizion, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-48.jpeg
49, tooth, dandAn, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-49.jpeg
50, toothbrush, mesvAk, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-50.jpeg
51, face, soorat, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-51.jpeg
52, hair brush, bores, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-52.jpeg
53, pajamas, pijame, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-53.jpeg
54, bed, takht’e khAb, , , https://raw.githubusercontent.com/Connoropolous/farsi-data/master/images/noun-54.jpeg
55, trip, safar, , , https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/trip.png
56, hand, dast, , , https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hand.png
57, cinnamon, darcheen, , , https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/cinnamon.png
58, turmeric, zarchubeh, , , https://images.indianexpress.com/2020/03/turmeric.jpg
59, shopping, kharid, , , https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20go%20shopping.png
